N	lag	gcd_normalized_odd_numerators
49	9	23
70	5	79
76	9	151
81	1	67
94	10	23
104	5	139
107	3	139
107	8	139
115	8	10067
117	7	59
150	3	31
189	1	47
217	10	23
261	9	23
263	7	43
302	9	23
305	3	31
347	10	23
420	3	109
422	2	109
422	5	109
425	1	4943
460	3	31
470	10	23
488	9	47
514	9	23
555	9	23
558	1	59
559	9	53
564	7	43
565	6	563
565	10	83
583	9	181
600	10	23
615	3	31
654	9	71
655	1	71
655	10	71
665	1	47
668	3	47
668	4	47
723	10	23
751	3	29
767	9	23
770	3	31
789	9	191
808	9	23
814	5	59
818	1	67
840	8	47
853	10	23
862	3	359
865	7	43
925	3	31
967	5	2087
974	2	103
976	10	23
1020	9	23
1023	10	113
1061	9	23
1061	10	1447
1080	3	31
1097	5	79
1100	4	463
1106	10	23
1166	7	43
1193	3	71
1197	3	163
1198	4	613
1229	10	23
1235	3	31
1248	9	53
1270	1	47
1273	9	23
1293	2	149
1314	9	23
1359	10	23
1390	3	6107
1401	3	109
1403	2	109
1403	5	109
1453	1	643
1465	2	3109
1467	7	43
1482	10	23
1526	9	23
1531	6	199
1545	3	31
1555	1	67
1564	3	677
1567	9	23
1569	9	47
1571	7	83
1575	4	83
1579	4	83
1579	8	83
1584	8	1481
1602	3	431
1612	10	23
1672	1	89
1700	3	31
1727	10	167
1735	4	727
1735	10	23
1746	1	47
1749	3	47
1749	4	47
1765	6	179
1768	7	43
1779	9	23
1819	10	263
1820	9	23
1828	7	59
1855	3	31
1865	10	23
1871	8	127
1921	8	47
1937	9	53
1966	5	503
1970	8	163
1988	10	23
2010	3	31
2032	9	23
2069	7	43
2071	4	167
2073	9	23
2113	1	211
2118	10	23
2119	10	173
2124	5	79
2165	3	31
2206	2	379
2213	7	379
2213	9	379
2241	10	23
2244	1	449
2269	1	59
2285	9	23
2292	1	67
2320	3	31
2326	9	23
2332	1	83
2351	1	47
2360	4	1109
2370	7	43
2371	10	23
2382	3	109
2384	2	109
2384	5	109
2444	3	107
2461	4	467
2474	9	317
2475	3	31
2494	10	23
2525	5	59
2538	9	23
2571	1	149
2579	9	23
2584	5	113
2593	5	107
2610	3	349
2624	10	23
2626	9	53
2630	3	31
2650	9	47
2671	7	43
2725	2	103
2747	10	23
2785	3	31
2791	9	23
2827	1	47
2830	3	47
2830	4	47
2832	9	23
2877	10	23
2940	3	31
2972	7	43
3000	10	23
3002	8	47
3023	2	83
3029	1	67
3044	9	23
3085	9	23
3095	3	31
3100	4	229
3114	10	227
3130	10	23
3139	9	71
3140	1	71
3140	10	71
3151	5	79
3250	3	31
3253	10	23
3273	7	43
3297	9	23
3298	9	181
3301	5	139
3304	3	139
3304	8	139
3315	9	53
3335	1	263
3338	9	23
3363	3	109
3365	2	109
3365	5	109
3383	10	23
3405	3	31
3432	1	47
3443	5	349
3444	8	409
3483	10	107
3488	5	107
3506	10	23
3539	7	59
3550	9	23
3560	3	31
3571	3	317
3574	7	43
3591	9	23
3630	1	89
3636	10	23
3667	2	389
3678	3	71
3715	3	31
3720	6	199
3731	9	47
3744	9	443
3759	10	23
3764	10	1033
3766	1	67
3803	9	23
3844	9	23
3847	10	223
3851	9	151
3868	9	227
3870	3	31
3875	7	43
3882	10	163
3889	10	23
3908	1	47
3911	3	47
3911	4	47
3929	6	263
3931	8	29
3968	10	83
3970	3	233
3980	1	59
4004	9	53
4012	10	23
4025	3	31
4056	9	23
4074	7	233
4083	8	47
4097	9	23
4124	3	131
4142	10	23
4176	7	43
4178	5	79
4180	3	31
4187	10	113
4236	5	59
4265	10	23
4309	9	23
4335	3	31
4341	4	463
4344	3	109
4346	2	109
4346	5	109
4350	9	23
4358	4	307
4376	2	131
4378	2	131
4378	4	131
4390	8	41681
4395	10	23
4398	9	509
4476	2	103
4477	1	127
4477	7	43
4490	3	31
4503	1	67
4509	9	283
4513	1	47
4518	10	23
4538	8	127
4562	9	23
4603	9	23
4625	6	227
4645	3	31
4648	10	23
4692	9	1429
4693	9	53
4720	9	1619
4771	10	23
4778	7	43
4800	3	31
4812	9	47
4815	9	23
4856	9	23
4882	4	29
4901	10	23
4955	3	31
4974	7	83
4978	4	83
4982	4	83
4982	8	83
4989	1	47
4992	3	47
4992	4	47
