N	T	Lambda	g	delta_num	delta_den
0	1260478265078460720478474725737794634085932822533456272	126601802627987091157574954256288044197800606903076171875	3	420159421692820240159491575245931544695310940844485424	42200600875995697052524984752096014732600202301025390625
1	1359861663203872502699622255965422196053334438057103495240199063609504991219983175712	11417720206205091824905014294070582252334373933318221399657151471985010826674401760101318359375	3	453287221067957500899874085321807398684444812685701165080066354536501663739994391904	3805906735401697274968338098023527417444791311106073799885717157328336942224800586700439453125
2	5561277700926196128134686768728725906111854356886745721422135641218178761594048247158410063421734000003990552382528	1947756667510593753551272693689490541681025517976295773376220786013894246244487049489519904232651458904522747616283595561981201171875	3	1853759233642065376044895589576241968703951452295581907140711880406059587198016082386136687807244666667996850794176	649252222503531251183757564563163513893675172658765257792073595337964748748162349829839968077550486301507582538761198520660400390625
3	2195351147716036429354819757903026011499340654010848518645379635493709701528494416559102790870412552891118720462666792983030511468216341178551936	26557824993132217328445485630523504634035523517277996466793144485062800020438318357407819258228905924536981153411489218510192070191197415596207065391354262828826904296875	3	731783715905345476451606585967675337166446884670282839548459878497903233842831472186367596956804184297039573487555597661010170489405447059517312	8852608331044072442815161876841168211345174505759332155597714828354266673479439452469273086076301974845660384470496406170064023397065805198735688463784754276275634765625
4	116955562979550747013456462999785231280467523730712295860822714846013432350680621298677102937432747193377787512675365206834832189004705482259535856086667105002685978938668288	44669564381432146283606601687965718115489666051078403591432901526700094254249661910206044975451079042096320313071354591477576781890847164291451518490643240120399839430953559116233009262941777706146240234375	3	38985187659850249004485487666595077093489174576904098620274238282004477450226873766225700979144249064459262504225121735611610729668235160753178618695555701667561992979556096	14889854793810715427868867229321906038496555350359467863810967175566698084749887303402014991817026347365440104357118197159192260630282388097150506163547746706799946476984519705411003087647259235382080078125
5	121638290514116229887624518825908243690190756125037418023593437063846160112352045453000486866757908903561698630195720076405177677594815712453627086771577978146483400353529218617713023225040175451644979712	1391386741384875638323679092957463441070274950371874560877667955274608245901372340734163481259311798545331858890820820798455673695924984078849804521435735520781236849348034789553415388548247210818506881639666783456732446211390197277069091796875	3	40546096838038743295874839608636081230063585375012472674531145687948720037450681817666828955585969634520566210065240025468392559198271904151209028923859326048827800117843072872571007741680058483881659904	463795580461625212774559697652487813690091650123958186959222651758202748633790780244721160419770599515110619630273606932818557898641661359616601507145245173593745616449344929851138462849415736939502293879888927818910815403796732425689697265625
6	21343244689849600235941707598007339787178639488100173839099916039226018349173824049140483936152287386767954955008366722449326397753466821596335300775597898173000870787392514176998728813122584279800740843922556292403772927450816545792	7062059704886989174069226225739069701641449523156269816270158641288324046995121269990206925572995848943505566117641969156381389547925876080140468599967800081796643562038810810654305256542232307641490225320504555010118093452399770394904243535350030214203798095695674419403076171875	87	245324651607466669378640317218475169967570568828737630334481793554322049990503724702764183174164222836413275344923755430452027560384676110302704606616067795091964032038994415827571595553133152641387825792213290717284746292538121216	81173100056172289357117542824587008064844247392600802485863892428601425827530129540117320983597653436132247886409677806395188385608343403220005386206526437721800500713089779432808106397037152961396439371500052356438139005199997360860968316498276209358664345927536487579345703125
7	3307251346944678775966144464248236394981573367073072122972637363211249908021689129645260480518155432190390039837029743971278645162418244340691885830454530009273607175002633569904841810289184602140805491678550403952014159714468413059624275580184022120590271997952	30883988832179623464967151331543590437835502159944953271085185881951714364832846456435719115117216510579630804304912397637037565071046378214023235544896233843150308859300507219674543358752648749547927717735384249523022580474624061493162737859105267675929122551400535699346323707803474434285817551426589488983154296875	57	58021953455169803087125341478039234999676725738124072332853287073881577333713844379741411938915007582287544558544381473180327108112600777906875190007974210689010652193028659121137575619108501791943955994360533402666915082709972158940776764564631967027899508736	541824365476835499385388619851641937505886002806051811773424313718451129207593797481328405528372219483853172005349340309421711667913094354631986588506951470932461558935096617889027076469344714904349609083076916658298641762712702833213381365949215222384721448270184836830637258031639902355891535989940166473388671875
8	466112889920090551139991261450651050591802123730724182353156015251894084000582300574744936770853898449647497081065135137633025113849018992321622911325937733257843737317323847378508855688294015701281856747089868082188446037171081208644705674040106278429325310947416176131385169640386390888448	120606741991081672824085168553772374576053982605364689245311295910017836811660277596480849873476277889763450443644846084629310693375125590552540889615411889738099732761005855846509921956606218505866284437786042758569092415645525170053656920960183216899119145956696210718839140009533948633123671981723241482099373382552709443871208350174129009246826171875	3	155370963306696850379997087150217016863934041243574727451052005083964694666860766858248312256951299483215832360355045045877675037949672997440540970441979244419281245772441282459502951896098005233760618915696622694062815345723693736214901891346702092809775103649138725377128389880128796962816	40202247330360557608028389517924124858684660868454896415103765303339278937220092532160283291158759296587816814548282028209770231125041863517513629871803963246033244253668618615503307318868739501955428145928680919523030805215175056684552306986727738966373048652232070239613046669844649544374557327241080494033124460850903147957069450058043003082275390625
9	487691211940054724089260329439077737330787446941344375735086125519562174213535627032381414269584266822200969054376456848189331774012388965440590880312576626919529449104135864946754847762124616016848646407754884167272172459604848353884803096275029377123902760638435667696357396446990060494192866984672960467495889739776	3447120285555229578577213640856988384845954929082811902571817281967301230609103087310345826474872944009189336314523131487055456755839782934167085499929335229420723574711043928739692567250676337483124989029272727626363729865314164522189501095629494208222696977677665308480437291092717954361289333432386373014924663185554780170196907079637748346260216203429393999613239429891109466552734375	3	162563737313351574696420109813025912443595815647114791911695375173187391404511875677460471423194755607400323018125485616063110591337462988480196960104192208973176483034711954982251615920708205338949548802584961389090724153201616117961601032091676459041300920212811889232119132148996686831397622328224320155831963246592	1149040095185076526192404546952329461615318309694270634190605760655767076869701029103448608824957648003063112104841043829018485585279927644722361833309778409806907858237014642913230855750225445827708329676424242542121243288438054840729833698543164736074232325892555102826812430364239318120429777810795457671641554395184926723398969026545916115420072067809797999871079809963703155517578125
