accepted_id,comparison_result
T1,no retained source tuple or normalized fingerprint match
T2,no retained source tuple or normalized fingerprint match
T3,no retained source tuple or normalized fingerprint match
T4,no retained source tuple or normalized fingerprint match
T5,no retained source tuple or normalized fingerprint match
T6,no retained source tuple or normalized fingerprint match
T7,target interface only; no premise imported
T8,no retained source tuple or normalized fingerprint match
T9,no retained source tuple or normalized fingerprint match
T10,target interface only; no premise imported
T12,no retained source tuple or normalized fingerprint match
T13,no retained source tuple or normalized fingerprint match
T14,no retained source tuple or normalized fingerprint match
T17,no retained source tuple or normalized fingerprint match
T18,snapshot-listed; no retained source tuple or normalized fingerprint match
T19,snapshot-listed; no retained source tuple or normalized fingerprint match
T20,no retained source tuple or normalized fingerprint match
T21,snapshot-listed; no retained source tuple or normalized fingerprint match
T23,no retained source tuple or normalized fingerprint match
T24,no retained source tuple or normalized fingerprint match
T25,no retained source tuple or normalized fingerprint match
T26,no retained source tuple or normalized fingerprint match
T27,snapshot-listed; no retained source tuple or normalized fingerprint match
T28,no retained source tuple or normalized fingerprint match
T29,no retained source tuple or normalized fingerprint match
T31,snapshot-listed; no retained source tuple or normalized fingerprint match
T32,snapshot-listed; no retained source tuple or normalized fingerprint match
T33,no retained source tuple or normalized fingerprint match
T34,no retained source tuple or normalized fingerprint match
T35,snapshot-listed; no retained source tuple or normalized fingerprint match
T36,snapshot-listed; no retained source tuple or normalized fingerprint match
T37,no retained source tuple or normalized fingerprint match
T38,no retained source tuple or normalized fingerprint match
T39,no retained source tuple or normalized fingerprint match
T40,snapshot-listed; no retained source tuple or normalized fingerprint match
T41,no retained source tuple or normalized fingerprint match
T43,snapshot-listed; no retained source tuple or normalized fingerprint match
T44,no retained source tuple or normalized fingerprint match
T45,no retained source tuple or normalized fingerprint match
T46,snapshot-listed; no retained source tuple or normalized fingerprint match
T47,snapshot-listed; no retained source tuple or normalized fingerprint match
T49,no retained source tuple or normalized fingerprint match
T50,no retained source tuple or normalized fingerprint match
T51,no retained source tuple or normalized fingerprint match
T53,no retained source tuple or normalized fingerprint match
T54,snapshot-listed; no retained source tuple or normalized fingerprint match
T55,target interface only; no premise imported
T56,snapshot-listed; no retained source tuple or normalized fingerprint match
T57,snapshot-listed; no retained source tuple or normalized fingerprint match
T58,snapshot-listed; no retained source tuple or normalized fingerprint match
T59,snapshot-listed; no retained source tuple or normalized fingerprint match
T60,snapshot-listed; no retained source tuple or normalized fingerprint match
T61,target interface only; no premise imported
T62,no retained source tuple or normalized fingerprint match
T63,excluded rational-tail representation family
T64,target interface only; no premise imported
T65,snapshot-listed; no retained source tuple or normalized fingerprint match
T67,no retained source tuple or normalized fingerprint match
T68,excluded factorial representation family
T72,snapshot-listed; no retained source tuple or normalized fingerprint match
T73,no retained source tuple or normalized fingerprint match
T78,snapshot-listed; no retained source tuple or normalized fingerprint match
T79,no retained source tuple or normalized fingerprint match
T80,snapshot-listed; no retained source tuple or normalized fingerprint match
T81,snapshot-listed; no retained source tuple or normalized fingerprint match
T82,snapshot-listed; no retained source tuple or normalized fingerprint match
T83,no retained source tuple or normalized fingerprint match
T85,snapshot-listed; no retained source tuple or normalized fingerprint match
T86,no retained source tuple or normalized fingerprint match
T87,snapshot-listed; no retained source tuple or normalized fingerprint match
T88,snapshot-listed; no retained source tuple or normalized fingerprint match
T89,no retained source tuple or normalized fingerprint match
T90,no retained source tuple or normalized fingerprint match
T91,snapshot-listed; no retained source tuple or normalized fingerprint match
T92,no retained source tuple or normalized fingerprint match
T93,snapshot-listed; no retained source tuple or normalized fingerprint match
T94,snapshot-listed; no retained source tuple or normalized fingerprint match
T95,snapshot-listed; no retained source tuple or normalized fingerprint match
T96,snapshot-listed; no retained source tuple or normalized fingerprint match
T97,snapshot-listed; no retained source tuple or normalized fingerprint match
T98,snapshot-listed; no retained source tuple or normalized fingerprint match
T99,snapshot-listed; no retained source tuple or normalized fingerprint match
T100,no retained source tuple or normalized fingerprint match
T101,snapshot-listed; no retained source tuple or normalized fingerprint match
T102,snapshot-listed; no retained source tuple or normalized fingerprint match
T103,no retained source tuple or normalized fingerprint match
T104,excluded broad Mahler and ambient Fourier family
T105,no retained source tuple or normalized fingerprint match
T106,no retained source tuple or normalized fingerprint match
T107,no retained source tuple or normalized fingerprint match
T108,no retained source tuple or normalized fingerprint match
T110,no retained source tuple or normalized fingerprint match
T111,no retained source tuple or normalized fingerprint match
T112,no retained source tuple or normalized fingerprint match
T113,snapshot-listed; no retained source tuple or normalized fingerprint match
T114,nearest Pade determinant occupancy branch; distinct source and fingerprint
T115,excluded substitution Fourier-ray family
T116,no retained source tuple or normalized fingerprint match
