word,length,q,rho_ratio_lower,rho_ratio_upper,delta_lower_nats,delta_upper_nats,states,reachable
0,1,9,9/8,9/8,0.117783035656383454,0.117783035656383455,9,9
0,1,11,999560360987532/900857486063095,1999613290003839/1802158900890709,0.103968471273372499,0.103968471273373577,11,11
0,1,16,8174622830273892/7374139036246745,766338777968964/691296566819245,0.103055424186178499,0.103055424186179071,16,16
1,1,9,103256093754777/93195572920819,8979007675296177/8104158642171586,0.102512029802528405,0.102512029802531752,9,9
1,1,11,992995091716059/905473955054554,3500606894870340/3192068517389843,0.092267207293077203,0.092267207293082396,11,11
1,1,16,7347964721195889/6624018904203590,1323481671018357/1193087874102605,0.103721095223270288,0.103721095223271369,16,16
2,1,9,8032951244897001/7250356605499198,351920923861821/317635712846611,0.102501333199107267,0.102501333199108856,9,9
2,1,11,2027548375402734/1848843173422319,1401075405348513/1277586631250647,0.092267234516485707,0.092267234516487867,11,11
2,1,16,3611927639882583/3275292869859398,935256019418829/848089352087671,0.097834311098748447,0.097834311098749369,16,16
3,1,9,3148092689261472/2840847048652145,8279465818638213/7471411536110936,0.102694509707456008,0.102694509707456902,9,9
3,1,11,5174076967910955/4718034328646957,57430130613898/52368244503415,0.092268702493504436,0.092268702493505487,11,11
3,1,16,8702174005550280/7815431689568401,7344666134189271/6596252432763532,0.107472679203490017,0.107472679203491172,16,16
4,1,9,336382215616359/303925469846117,1403532653785812/1268109018381395,0.101465553556220349,0.101465553556221768,9,9
4,1,11,985559282266143/898622834447087,1042165497641229/950235800427904,0.092345871840541363,0.092345871840542644,11,11
4,1,16,4063245777721089/3649723513750307,8735068767053799/7846088476395994,0.107330691794455995,0.107330691794457197,16,16
5,1,9,8998372858446585/8130140571917096,1403532653785812/1268109018381395,0.101465553556220475,0.101465553556221768,9,9
5,1,11,8870033540395287/8087605510023784,1411363082890344/1286866367961829,0.092345871840541239,0.092345871840542511,11,11
5,1,16,4063245777721089/3649723513750307,7440272765040681/6683065692992626,0.107330691794455995,0.107330691794457297,16,16
6,1,9,3148092689261472/2840847048652145,8279465818638213/7471411536110936,0.102694509707456008,0.102694509707456902,9,9
6,1,11,5174076967910955/4718034328646957,57430130613898/52368244503415,0.092268702493504436,0.092268702493505487,11,11
6,1,16,8702174005550280/7815431689568401,7344666134189271/6596252432763532,0.107472679203490017,0.107472679203491172,16,16
7,1,9,8032951244897001/7250356605499198,351920923861821/317635712846611,0.102501333199107267,0.102501333199108856,9,9
7,1,11,2027548375402734/1848843173422319,1401075405348513/1277586631250647,0.092267234516485707,0.092267234516487867,11,11
7,1,16,3611927639882583/3275292869859398,935256019418829/848089352087671,0.097834311098748447,0.097834311098749369,16,16
8,1,9,103256093754777/93195572920819,8979007675296177/8104158642171586,0.102512029802528405,0.102512029802531752,9,9
8,1,11,992995091716059/905473955054554,291717241239195/266005709782487,0.092267207293077203,0.092267207293082083,11,11
8,1,16,627895722505365/566033356658141,7940890026110142/7158527244615629,0.103721095223270061,0.103721095223271508,16,16
9,1,9,9/8,9/8,0.117783035656383454,0.117783035656383455,9,9
9,1,11,999560360987532/900857486063095,1999613290003839/1802158900890709,0.103968471273372499,0.103968471273373577,11,11
9,1,16,8174622830273892/7374139036246745,766338777968964/691296566819245,0.103055424186178499,0.103055424186179071,16,16
00,2,9,8751380522071687500000000000/8677553085668059867470656407,283972757595239242102411969221/281577137767161125000000000000,0.008471875518116954,0.008471875518119498,36,26
00,2,11,4353634056206047851562500000/4316438560579123748754906629,278409853977790212202578304433/276031245125407937500000000000,0.008580256583200545,0.008580256583201529,44,31
00,2,16,26469386087470875000000000000/26253453285674906109120911519,119143534806517707265379509/118171581879402868652343750,0.008191289078363690,0.008191289078364712,64,40
01,2,9,9656612570445046197785767279/9566338982919154296875000000,13507792242066322454624512995/13381516401925638246769169017,0.009392340287178451,0.009392340287180793,36,26
01,2,11,113471402367459536480967574219/112399489449561750000000000000,2000481501599564161474789488966/1981583859384509621684271562709,0.009491448468051253,0.009491448468053961,44,31
01,2,16,979445705032714316634447329579/969756457207787250000000000000,2188084722494018443332869322782/2166438913002744795711159462217,0.009941839609806291,0.009941839609807718,64,40
02,2,9,732689477649371261187284857081/725752052682705250000000000000,249460327474496921173832458091/247098327805050541763731334872,0.009513548738773707,0.009513548738775925,36,26
02,2,11,1342598635118155665967779661/1329783829612726562500000000,1976614476762848602697934674371/1957748130993991319327349768656,0.009590621028166136,0.009590621028167492,44,31
02,2,16,304114445619786734212831533417/300925667949845406250000000000,58490488558912496444866059112/57877189300994863759942770333,0.010540812496411725,0.010540812496413350,64,40
03,2,9,984607547334448190808945798333/975166659735356750000000000000,312764915499878894218149582727/309765976054240956350697571785,0.009634743223681578,0.009634743223682926,36,26
03,2,11,2201226262034002487095181746243/2179999671322333500000000000000,1900532075412579459404602595820/1882205101400416569083769604603,0.009689870881365502,0.009689870881366947,44,31
03,2,16,97173562787262559644881299953/96161119558797050000000000000,2184406123239775614370733254094/2161646978424486123745824776767,0.010473573300161929,0.010473573300163016,64,40
04,2,9,247316448818583559616822491169/244915291957866350000000000000,997785720373256187038171618467/988098374305313329093151047114,0.009756282287219006,0.009756282287220600,36,26
04,2,11,81370285935379714494772788991/80577624820082312500000000000,658729119346180261770541880656/652312170549483145826336843073,0.009789165435987530,0.009789165435989725,44,31
04,2,16,2424639643812486319611148650853/2400514214789103750000000000000,1819303808382615070357806974862/1801201536973699501325816159297,0.009999942291150468,0.009999942291151755,64,40
05,2,9,619021358485584149301056837623/612936798503734375000000000000,1111117808849659702734145889138/1100196274621199543502499010577,0.009877948243209936,0.009877948243211358,36,26
05,2,11,971797640871548354326978884809/962224960813386500000000000000,490420568869699248199653178569/485589687416311458952502826952,0.009899324055347194,0.009899324055349332,44,31
05,2,16,478378724424172692469211848229/473393665571423375000000000000,1598049797558742470413998679121/1581396940975196210278297495048,0.010475413010615008,0.010475413010616440,64,40
06,2,9,491578485679619336663173131063/486687461382725125000000000000,2222204291985722883866492789493/2200094180373046983271951765582,0.009999458870338019,0.009999458870339699,36,26
06,2,11,721837421353294872097846151551/714663618317156000000000000000,550049223174653649877344487718/544582694742477109739844557375,0.009987967256322273,0.009987967256323865,44,31
06,2,16,738477028701623522906534255063/731284707988635875000000000000,352652279760245239843860659726/349217659321662739605325837021,0.009787134805398345,0.009787134805399685,64,40
07,2,9,365506127956038529951348696997/361825380247270875000000000000,597258947780710126241366872867/591244385136087312763710835952,0.010121324564899321,0.010121324564900647,36,26
07,2,11,23521034123544293651134859/23284961676975000000000000,1099965111992799169584895389557/1088925144372108908181095349299,0.010087359293215719,0.010087359293218553,44,31
07,2,16,2032407955976635888220956168829/2011089737180294750000000000000,4072491783809192222752387299/4029774832894752337886363999,0.010544542344341870,0.010544542344344933,64,40
08,2,9,1235924424961040872490068826931/1223329253415789250000000000000,430439544078447895279889681170/426052981447241017622472046999,0.010243174002202757,0.010243174002206560,36,26
08,2,11,556264250224773194164518116123/550626323119649750000000000000,39885946062233385122533915253/39481688452065155462539362525,0.010187051904887528,0.010187051904893522,44,31
08,2,16,1090739395110772924554496659403/1079490753903397125000000000000,253477901584155966317462204098/250863819813845006688585599379,0.010366404637854128,0.010366404637855555,64,40
09,2,9,360640150290036985911570799/356882258210000000000000000,1793706592810585795582434323469/1775016062115062309720812356040,0.010474729137656972,0.010474729137658711,36,26
09,2,11,2227130692793389675160243757187/2206509362971168250000000000000,1775058496370420050687629921015/1758622969337435613297720949213,0.009302279059069997,0.009302279059071083,44,31
09,2,16,8297089298275184500854787149/8213720946770750000000000000,2221377283023373071920237327319/2199057098739760957062551526667,0.010098724264569058,0.010098724264570692,64,40
10,2,9,554871026019461420027820508771/549156257877956250000000000000,64440683978166218165218681502/63776991785663150975855603527,0.010352677449524868,0.010352677449526447,36,26
10,2,11,34985826270527223348417332071/34658454958019275000000000000,1977123770995763782119738869477/1958623318872760131908828827166,0.009401309567568831,0.009401309567569777,44,31
10,2,16,60850916421778719399745974983/60217026589426162500000000000,982426014012647819180774234272/972191988003822345418610413055,0.010471733625345407,0.010471733625346769,64,40
11,2,9,171947500487789812500000000000/170346126710688075130780246721,60114143599870723129502992711/59554291244234906250000000000,0.009356793893553046,0.009356793893554872,36,26
11,2,11,315131511686690625000000000/312213446102083499578774939,55635631435076720634930316903/55120454706162243750000000000,0.009302973089221580,0.009302973089223873,44,31
11,2,16,6841031517139687500000000000/6776701901125513683631798633,20105374007899632470565439217/19916313193531328125000000000,0.009447988525955313,0.009447988525956281,64,40
12,2,9,61111112056881781482669884477/60553818432544687500000000000,997908527385928392216442081349/988808250181574657053582294700,0.009161185886025245,0.009161185886027757,36,26
12,2,11,14899817499241158451634446207/14746030058872351562500000000,1949219966564884575900721296065/1929101226896485627340214654451,0.010375066495494786,0.010375066495498370,44,31
12,2,16,2449515389252707372930331199627/2423981525351236000000000000000,142639183157296867503334491664/141152305587253440294930992109,0.010478758063304664,0.010478758063306340,64,40
13,2,9,98345474180603994074269506009/97332587301846175000000000000,110834970419835471024753099477/109693450810711271256939731339,0.010352677430073066,0.010352677430074439,36,26
13,2,11,145366595036874654188458968341/143866203737523500000000000000,1974468083126214751569055627233/1954088746786815402013158159508,0.010375066482400640,0.010375066482402769,44,31
13,2,16,1094048178231829571479179352109/1083469681485880625000000000000,500324734923217937771275032711/495487028791429659951804342620,0.009716182046280827,0.009716182046282463,64,40
14,2,9,1235908899635498898522794720143/1223179934502925375000000000000,740704379764556551730723624216/733075661963147747524498794835,0.010352679126002617,0.010352679126004118,36,26
14,2,11,121923937867710607650733321643/120665508338252375000000000000,1972405594485050824744670008143/1952047545954317253008590750679,0.010375066495618782,0.010375066495620418,44,31
14,2,16,2470566827952481500081093195569/2445742811201117250000000000000,877730069085743507481038088668/868910722168412251276458020575,0.010098724264569551,0.010098724264570940,64,40
15,2,9,231436729500546690736249471/229053099455900000000000000,1995298455187537807563590703291/1974748331807871473797547198302,0.010352677449525261,0.010352677449526474,36,26
15,2,11,1225959665084786000085892334039/1213306006815125000000000000000,1977103377995862955353109708557/1956696841613423813310529908308,0.010375066496984084,0.010375066496985561,44,31
15,2,16,478378724424172692469211848229/473393665571423375000000000000,2220246234995733793901911044128/2197109633002463661009021392853,0.010475413010615008,0.010475413010616449,64,40
16,2,9,327808094078177038124035295651/324431909046486750000000000000,782409695490015998882474529608/774351444488034321590076337883,0.010352677449525103,0.010352677449526781,36,26
16,2,11,360353426197096155137450949503/356630019501220750000000000000,549731621528731636057923708381/544051435767391483148499923830,0.010386404848747777,0.010386404848749624,44,31
16,2,16,369281822779752190008790976213/365440891503593750000000000000,1866199788116399729928059952118/1846789287269698414566682327409,0.010455553345116472,0.010455553345118308,64,40
17,2,9,243718469361854023516081580151/241208346326242000000000000000,1768483054658844221221219185657/1750268964995418789147786037883,0.010352677449521889,0.010352677449524073,36,26
17,2,11,235514624394890645682800213997/233083773578511625000000000000,2199223481683297934501695021539/2176524321452434467832506873614,0.010375078668822002,0.010375078668824913,44,31
17,2,16,3805334728964952272099984261/3765758141685812000000000000,2224361037201923800776149188624/2201227035859259220345490001255,0.010454751628973668,0.010454751628976348,64,40
18,2,9,479475099823272954417565676531/474478940414090000000000000000,64439789860859977732929430840/63768323370612948216024300661,0.010474729137656402,0.010474729137658669,36,26
18,2,11,125117659097272581290625527851/123826268235949750000000000000,2204288752883079820702457662852/2181537381320275573742757489727,0.010375046775261865,0.010375046775263380,44,31
18,2,16,2212087463818029314803463892283/2189768350549838750000000000000,2224268826831632896881290602088/2201826808287175129177703940679,0.010140861254181457,0.010140861254182733,64,40
19,2,9,2968227082840261243444068343/2937656926422800000000000000,2222113531334050618908482181218/2199227695333508176070820723515,0.010352532964947853,0.010352532964949636,36,26
19,2,11,2451416574098540398173951909409/2428478066874240250000000000000,1100694746067924662805662495663/1090395274875960202273784889870,0.009401299766613964,0.009401299766615394,44,31
19,2,16,488129767931603474149577114467/483543282755423500000000000000,2189961612467825811913862120033/2169384652954476761772494801499,0.009440457849563405,0.009440457849565479,64,40
20,2,9,16820186754774185811353239561/16646951060540900000000000000,2222082603782494218276132799952/2199196768558290142812359307725,0.010352677449748562,0.010352677449752189,36,26
20,2,11,76523026008811574496358626313/75806981252790554687500000000,123553477189006955099342208206/122397356945942129061772553449,0.009401299754656233,0.009401299754657528,44,31
20,2,16,959511088076489199429722472421/950172471104188750000000000000,1997507419446430700275748966474/1978066313531816400280385622517,0.009780354832089601,0.009780354832091355,64,40
21,2,9,16319710590176732109297115081/16151629409486750000000000000,226815043289333671833012242542/224479012876068281405432580651,0.010352679125999649,0.010352679126005522,36,26
