instance_order,phase,word,word_length,depth_R,status,declared_state_count_including_root,reachable_state_count,reachable_live_state_count,generated_edge_count,criterion_boolean,mathematical_verdict,resource_stop_reason
0,complete_baseline_all_words_length_1_at_R0,0,1,0,completed,2,2,2,18,False,fixed_core_infinite_via_T48_equivalence,
1,complete_baseline_all_words_length_1_at_R0,1,1,0,completed,2,2,2,18,False,fixed_core_infinite_via_T48_equivalence,
2,complete_baseline_all_words_length_1_at_R0,2,1,0,completed,2,2,2,18,False,fixed_core_infinite_via_T48_equivalence,
3,complete_baseline_all_words_length_1_at_R0,3,1,0,completed,2,2,2,18,False,fixed_core_infinite_via_T48_equivalence,
4,complete_baseline_all_words_length_1_at_R0,4,1,0,completed,2,2,2,18,False,fixed_core_infinite_via_T48_equivalence,
5,complete_baseline_all_words_length_1_at_R0,5,1,0,completed,2,2,2,18,False,fixed_core_infinite_via_T48_equivalence,
6,complete_baseline_all_words_length_1_at_R0,6,1,0,completed,2,2,2,18,False,fixed_core_infinite_via_T48_equivalence,
7,complete_baseline_all_words_length_1_at_R0,7,1,0,completed,2,2,2,18,False,fixed_core_infinite_via_T48_equivalence,
8,complete_baseline_all_words_length_1_at_R0,8,1,0,completed,2,2,2,18,False,fixed_core_infinite_via_T48_equivalence,
9,complete_baseline_all_words_length_1_at_R0,9,1,0,completed,2,2,2,18,False,fixed_core_infinite_via_T48_equivalence,
10,progressive_extension_R1,0,1,1,completed,19,19,16,292,False,fixed_core_infinite_via_T48_equivalence,
11,progressive_extension_R1,00,2,1,completed,73,46,40,601,False,fixed_core_infinite_via_T48_equivalence,
12,progressive_extension_R1,01,2,1,completed,73,46,45,602,False,fixed_core_infinite_via_T48_equivalence,
13,progressive_extension_R1,010,3,1,completed,163,69,67,843,False,fixed_core_infinite_via_T48_equivalence,
14,progressive_extension_R2,0,1,2,completed,325,325,200,4738,False,fixed_core_infinite_via_T48_equivalence,
15,progressive_extension_R2,010,3,2,completed,8749,1455,1275,17471,False,fixed_core_infinite_via_T48_equivalence,
16,progressive_resource_probe,010,3,3,resource_frontier,472393,,,2499,,,state_cap
