t66_instance_order,cohort,word,word_length,depth_R,reachable_state_count,reachable_live_state_count,generated_edge_count,cyclic_reachable_live_scc_count,finite_experimental_verdict,failure_witness_kind
0,t52_completed_baseline,0,1,0,2,2,18,1,projected_primitive_phase_failure,projected_phase_incompatibility
1,t52_completed_baseline,1,1,0,2,2,18,1,projected_primitive_phase_failure,projected_phase_incompatibility
2,t52_completed_baseline,2,1,0,2,2,18,1,projected_primitive_phase_failure,projected_phase_incompatibility
3,t52_completed_baseline,3,1,0,2,2,18,1,projected_primitive_phase_failure,projected_phase_incompatibility
4,t52_completed_baseline,4,1,0,2,2,18,1,projected_primitive_phase_failure,projected_phase_incompatibility
5,t52_completed_baseline,5,1,0,2,2,18,1,projected_primitive_phase_failure,projected_phase_incompatibility
6,t52_completed_baseline,6,1,0,2,2,18,1,projected_primitive_phase_failure,projected_phase_incompatibility
7,t52_completed_baseline,7,1,0,2,2,18,1,projected_primitive_phase_failure,projected_phase_incompatibility
8,t52_completed_baseline,8,1,0,2,2,18,1,projected_primitive_phase_failure,projected_phase_incompatibility
9,t52_completed_baseline,9,1,0,2,2,18,1,projected_primitive_phase_failure,projected_phase_incompatibility
10,t52_completed_baseline,0,1,1,19,16,292,1,projected_primitive_phase_failure,projected_phase_incompatibility
11,t52_completed_baseline,00,2,1,46,40,601,1,projected_primitive_phase_failure,projected_phase_incompatibility
12,t52_completed_baseline,01,2,1,46,45,602,3,projected_primitive_phase_failure,projected_phase_incompatibility
13,t52_completed_baseline,010,3,1,69,67,843,3,projected_primitive_phase_failure,projected_phase_incompatibility
14,t52_completed_baseline,0,1,2,325,200,4738,1,projected_primitive_phase_failure,projected_phase_incompatibility
15,t52_completed_baseline,010,3,2,1455,1275,17471,7,projected_primitive_phase_failure,projected_phase_incompatibility
17,deterministic_extension,1,1,1,19,18,292,3,projected_primitive_phase_failure,projected_phase_incompatibility
18,deterministic_extension,1,1,2,325,229,4738,7,projected_primitive_phase_failure,projected_phase_incompatibility
20,deterministic_extension,2,1,1,19,19,292,3,projected_primitive_phase_failure,projected_phase_incompatibility
21,deterministic_extension,2,1,2,325,240,4738,7,projected_primitive_phase_failure,projected_phase_incompatibility
23,deterministic_extension,3,1,1,19,18,292,3,projected_primitive_phase_failure,projected_phase_incompatibility
24,deterministic_extension,3,1,2,325,233,4738,7,projected_primitive_phase_failure,projected_phase_incompatibility
26,deterministic_extension,4,1,1,19,19,292,3,projected_primitive_phase_failure,projected_phase_incompatibility
27,deterministic_extension,4,1,2,325,253,4738,7,projected_primitive_phase_failure,projected_phase_incompatibility
29,deterministic_extension,5,1,1,19,19,292,3,projected_primitive_phase_failure,projected_phase_incompatibility
30,deterministic_extension,5,1,2,325,253,4738,7,projected_primitive_phase_failure,projected_phase_incompatibility
32,deterministic_extension,6,1,1,19,18,292,3,projected_primitive_phase_failure,projected_phase_incompatibility
33,deterministic_extension,6,1,2,325,233,4738,7,projected_primitive_phase_failure,projected_phase_incompatibility
35,deterministic_extension,7,1,1,19,19,292,3,projected_primitive_phase_failure,projected_phase_incompatibility
36,deterministic_extension,7,1,2,325,240,4738,7,projected_primitive_phase_failure,projected_phase_incompatibility
38,deterministic_extension,8,1,1,19,18,292,3,projected_primitive_phase_failure,projected_phase_incompatibility
39,deterministic_extension,8,1,2,325,229,4738,7,projected_primitive_phase_failure,projected_phase_incompatibility
41,deterministic_extension,9,1,1,19,16,292,1,projected_primitive_phase_failure,projected_phase_incompatibility
42,deterministic_extension,9,1,2,325,200,4738,1,projected_primitive_phase_failure,projected_phase_incompatibility
