n,L_n,W5,W5_over_L_n,E3,E3_over_L_n,T56_short_residual,T69_charging_slack,maximum_component_size,unresolved_boundary_cases
2,10,0,0/1,30,3/1,0,40,1,0
3,10,0,0/1,30,3/1,0,40,1,0
4,100,0,0/1,300,3/1,0,400,1,0
5,100,0,0/1,300,3/1,0,400,1,0
6,1000,2,1/500,3000,3/1,0,3998,1,0
7,1000,0,0/1,3000,3/1,0,4000,1,0
8,10000,0,0/1,30000,3/1,0,40000,1,0
9,10000,0,0/1,30000,3/1,0,40000,1,0
10,100000,0,0/1,300000,3/1,0,400000,1,0
11,100000,0,0/1,300000,3/1,0,400000,1,0
12,1000000,0,0/1,3000006,1500003/500000,0,4000006,2,0
