stream,N,L,forbidden_word,word_count_N,frequency_denominator,contained_sample_size,contaminated_starts,t15_integer_bound,bound_holds,forbidden_starts,contamination_fraction
pi,1000,1,0,93,1000,1000,93,186,true,907,93/1000
pi,1000,1,1,116,1000,1000,116,232,true,884,116/1000
pi,1000,1,00,7,1000,1000,0,14,true,1000,0/1000
pi,1000,1,01,10,1000,1000,0,20,true,1000,0/1000
pi,1000,1,11,16,1000,1000,0,32,true,1000,0/1000
pi,1000,1,000,2,1000,1000,0,4,true,1000,0/1000
pi,1000,1,001,2,1000,1000,0,4,true,1000,0/1000
pi,1000,1,012,1,1000,1000,0,2,true,1000,0/1000
pi,1000,1,123,0,1000,1000,0,0,true,1000,0/1000
pi,1000,1,0000,0,1000,1000,0,0,true,1000,0/1000
pi,1000,1,0123,0,1000,1000,0,0,true,1000,0/1000
pi,1000,2,0,93,1000,999,179,279,true,820,179/999
pi,1000,2,1,116,1000,999,215,348,true,784,215/999
pi,1000,2,00,7,1000,999,7,21,true,992,7/999
pi,1000,2,01,10,1000,999,10,30,true,989,10/999
pi,1000,2,11,16,1000,999,16,48,true,983,16/999
pi,1000,2,000,2,1000,999,0,6,true,999,0/999
pi,1000,2,001,2,1000,999,0,6,true,999,0/999
pi,1000,2,012,1,1000,999,0,3,true,999,0/999
pi,1000,2,123,0,1000,999,0,0,true,999,0/999
pi,1000,2,0000,0,1000,999,0,0,true,999,0/999
pi,1000,2,0123,0,1000,999,0,0,true,999,0/999
pi,1000,4,0,93,1000,997,335,465,true,662,335/997
pi,1000,4,1,116,1000,997,383,580,true,614,383/997
pi,1000,4,00,7,1000,997,17,35,true,980,17/997
pi,1000,4,01,10,1000,997,30,50,true,967,30/997
pi,1000,4,11,16,1000,997,44,80,true,953,44/997
pi,1000,4,000,2,1000,997,4,10,true,993,4/997
pi,1000,4,001,2,1000,997,4,10,true,993,4/997
pi,1000,4,012,1,1000,997,2,5,true,995,2/997
pi,1000,4,123,0,1000,997,0,0,true,997,0/997
pi,1000,4,0000,0,1000,997,0,0,true,997,0/997
pi,1000,4,0123,0,1000,997,0,0,true,997,0/997
pi,1000,8,0,93,1000,993,559,837,true,434,559/993
pi,1000,8,1,116,1000,993,603,1044,true,390,603/993
pi,1000,8,00,7,1000,993,37,63,true,956,37/993
pi,1000,8,01,10,1000,993,67,90,true,926,67/993
pi,1000,8,11,16,1000,993,100,144,true,893,100/993
pi,1000,8,000,2,1000,993,12,18,true,981,12/993
pi,1000,8,001,2,1000,993,12,18,true,981,12/993
pi,1000,8,012,1,1000,993,6,9,true,987,6/993
pi,1000,8,123,0,1000,993,0,0,true,993,0/993
pi,1000,8,0000,0,1000,993,0,0,true,993,0/993
pi,1000,8,0123,0,1000,993,0,0,true,993,0/993
pi,1000,16,0,93,1000,985,817,1581,true,168,817/985
pi,1000,16,1,116,1000,985,829,1972,true,156,829/985
pi,1000,16,00,7,1000,985,77,119,true,908,77/985
pi,1000,16,01,10,1000,985,134,170,true,851,134/985
pi,1000,16,11,16,1000,985,200,272,true,785,200/985
pi,1000,16,000,2,1000,985,28,34,true,957,28/985
pi,1000,16,001,2,1000,985,28,34,true,957,28/985
pi,1000,16,012,1,1000,985,14,17,true,971,14/985
pi,1000,16,123,0,1000,985,0,0,true,985,0/985
pi,1000,16,0000,0,1000,985,0,0,true,985,0/985
pi,1000,16,0123,0,1000,985,0,0,true,985,0/985
pi,1000,32,0,93,1000,969,934,3069,true,35,934/969
pi,1000,32,1,116,1000,969,953,3828,true,16,953/969
pi,1000,32,00,7,1000,969,153,231,true,816,153/969
pi,1000,32,01,10,1000,969,253,330,true,716,253/969
