N	lag	gcd_normalized_odd_numerators
49	9	23
70	5	79
76	9	151
81	1	67
94	10	23
104	5	139
107	3	139
107	8	139
115	8	10067
117	7	59
150	3	31
189	1	47
217	10	23
261	9	23
263	7	43
302	9	23
305	3	31
347	10	23
420	3	109
422	2	109
422	5	109
425	1	4943
460	3	31
470	10	23
488	9	47
514	9	23
555	9	23
558	1	59
559	9	53
564	7	43
565	6	563
565	10	83
583	9	181
600	10	23
615	3	31
654	9	71
655	1	71
655	10	71
665	1	47
668	3	47
668	4	47
723	10	23
751	3	29
767	9	23
770	3	31
789	9	191
808	9	23
814	5	59
818	1	67
840	8	47
853	10	23
862	3	359
865	7	43
925	3	31
967	5	2087
974	2	103
976	10	23
