N	num_bits	den_bits	v5_den	v239_den
0	44	47	3	5
1	184	185	15	17
2	316	319	25	29
3	450	451	36	41
4	591	591	47	53
5	720	722	58	65
6	865	866	71	77
7	1001	1002	80	89
8	1134	1136	91	101
9	1282	1283	102	113
10	1407	1407	113	125
11	1555	1555	125	137
12	1687	1687	135	149
13	1822	1822	146	161
14	1967	1968	157	173
15	2102	2104	168	185
16	2243	2244	180	197
17	2369	2370	190	209
18	2497	2498	201	221
19	2649	2649	212	233
20	2777	2779	223	245
21	2917	2918	235	257
22	3056	3057	245	269
23	3200	3202	256	281
24	3341	3343	267	293
25	3463	3463	278	305
26	3617	3619	290	317
27	3727	3729	300	329
28	3860	3860	311	341
29	4009	4009	322	353
30	4137	4138	333	365
31	4278	4283	347	377
32	4420	4422	355	389
33	4553	4553	366	401
34	4682	4682	377	413
35	4824	4825	388	425
36	4963	4966	400	437
37	5110	5110	410	449
38	5248	5248	421	461
39	5384	5386	432	473
40	5515	5515	443	485
41	5656	5656	455	497
42	5800	5801	465	509
43	5930	5930	476	521
44	6059	6059	487	533
45	6192	6194	498	545
46	6340	6341	510	557
47	6473	6474	520	569
48	6609	6612	531	581
49	6750	6755	542	593
50	6896	6897	553	605
51	7042	7042	565	617
52	7172	7174	577	629
53	7305	7309	586	641
54	7457	7457	597	653
55	7596	7596	608	665
56	7744	7745	621	677
57	7870	7870	630	689
58	8000	8001	641	701
59	8130	8131	652	713
60	8260	8261	663	725
61	8404	8404	675	737
62	8539	8541	685	749
63	8689	8690	696	761
64	8826	8830	707	773
65	8950	8950	718	785
66	9092	9092	730	797
67	9217	9220	740	809
68	9359	9360	751	821
69	9508	9509	762	833
70	9640	9644	773	845
71	9785	9786	785	857
72	9922	9924	795	869
73	10063	10064	806	881
74	10196	10196	817	893
75	10315	10317	828	905
76	10456	10459	840	917
77	10594	10595	849	929
78	10737	10737	861	941
79	10885	10885	872	953
80	11011	11011	883	965
81	11165	11166	896	977
82	11289	11291	905	989
83	11431	11431	916	1001
84	11567	11572	927	1013
85	11711	11712	938	1025
86	11854	11855	950	1037
87	11993	11993	960	1049
88	12131	12133	971	1061
89	12273	12274	982	1073
90	12388	12390	993	1085
91	12552	12553	1005	1097
92	12689	12691	1015	1109
93	12819	12822	1026	1121
94	12960	12962	1037	1133
95	13089	13090	1048	1145
96	13229	13233	1060	1157
97	13368	13369	1070	1169
98	13509	13509	1081	1181
99	13650	13650	1092	1193
100	13781	13781	1103	1205
101	13922	13924	1115	1217
102	14060	14063	1125	1229
103	14202	14203	1136	1241
104	14334	14334	1147	1253
105	14461	14465	1158	1265
106	14600	14600	1171	1277
107	14746	14747	1180	1289
108	14892	14893	1191	1301
109	15031	15034	1202	1313
110	15173	15175	1213	1325
111	15303	15305	1225	1337
112	15416	15417	1235	1349
113	15545	15548	1246	1361
114	15697	15699	1257	1373
115	15826	15830	1268	1385
116	15952	15953	1280	1397
117	16091	16092	1290	1409
118	16211	16212	1301	1421
119	16374	16374	1312	1433
120	16502	16505	1323	1445
