n,N,iid_model_energy,pi_energy,control_1_energy,control_2_energy,control_3_energy,control_mean_energy,pi_over_iid_model,control_mean_over_iid_model,pi_over_control_mean,pi_R
1,1000,100900/1,100474,101524,101786,100832,304142/3,50237/50450,152071/151350,150711/152071,500000/50237
1,10000,10009000/1,10009318,10011424,10017838,10010458,10013240/1,5004659/5004500,250331/250225,5004659/5006620,50000000/5004659
1,100000,1000090000/1,1000040930,1000050624,1000072836,1000056480,1000059980/1,14286299/14287000,50002999/50004500,100004093/100005998,1000000000/100004093
1,1000000,100000900000/1,100000550908,100000425826,100001077070,100000332706,300001835602/3,25000137727/25000225000,150000917801/150001350000,150000826362/150000917801,250000000000/25000137727
2,1000,10990/1,10974,11080,11382,10998,33460/3,5487/5495,478/471,16461/16730,250000/5487
2,10000,1009900/1,1007860,1012070,1011648,1009854,3033572/3,50393/50495,758393/757425,755895/758393,2500000/50393
2,100000,100099000/1,100104656,100088078,100109522,100086556,300284156/3,12513082/12512375,75071039/75074250,75078492/75071039,312500000/6256541
2,1000000,10000990000/1,10000942278,10000917678,10001082514,10000861200,30002861392/3,5000471139/5000495000,1875178837/1875185625,15001413417/15001430696,250000000000/5000471139
3,1000,1999/1,1990,1970,1988,1960,5918/3,1990/1999,5918/5997,2985/2959,100000/597
3,10000,109990/1,109080,110650,110722,110476,110616/1,10908/10999,55308/54995,4545/4609,2500000/8181
3,100000,10099900/1,10101024,10091406,10102366,10101806,10098526/1,2525256/2524975,5049263/5049950,5050512/5049263,312500000/946971
3,1000000,1000999000/1,1000958200,1001062684,1001018640,1001029706,1001037010/1,5004791/5004995,100103701/100099900,100095820/100103701,5000000000/15014373
4,1000,10999/10,1100,1092,1072,1084,3248/3,11000/10999,32480/32997,825/812,2500/11
4,10000,19999/1,19818,20154,20010,20016,20060/1,19818/19999,20060/19999,9909/10030,12500000/9909
4,100000,1099990/1,1100588,1098566,1100530,1100420,3299516/3,550294/549995,1649758/1649985,825441/824879,625000000/275147
4,1000000,100999900/1,100997870,101006734,100997390,101004726,101002950/1,10099787/10099990,2020059/2019998,10099787/10100295,25000000000/10099787
5,1000,100999/100,1014,1014,1004,1010,3028/3,101400/100999,302800/302997,1521/1514,100000/507
5,10000,109999/10,10932,11030,10986,11030,33046/3,109320/109999,330460/329997,16398/16523,5000000/2733
5,100000,199999/1,199944,199582,199760,200142,199828/1,199944/199999,199828/199999,49986/49957,250000000/24993
5,1000000,10999990/1,11003796,11001492,11002412,11005254,33009158/3,5501898/5499995,16504579/16499985,16505694/16504579,50000000000/2750949
6,1000,1000999/1000,1000,1002,1000,1000,3002/3,1000000/1000999,3002000/3002997,1500/1501,500/3
6,10000,1009999/100,10070,10070,10090,10104,10088/1,1007000/1009999,1008800/1009999,5035/5044,5000000/3021
6,100000,1099999/10,110204,110044,109822,109990,109952/1,1102040/1099999,1099520/1099999,27551/27488,1250000000/82653
6,1000000,1999999/1,2001632,2000190,1999508,2000914,2000204/1,28192/28169,2000204/1999999,500408/500051,15625000000/187653
7,1000,10000999/10000,1000,1000,1000,1000,1000/1,10000000/10000999,10000000/10000999,1/1,1000/7
7,10000,10009999/1000,10004,10010,10006,10010,30026/3,10004000/10009999,30026000/30029997,15006/15013,25000000/17507
7,100000,10099999/100,101034,101018,100982,100968,302968/3,10103400/10099999,30296800/30299997,151551/151484,5000000000/353619
7,1000000,10999999/10,1100756,1099650,1099970,1100114,3299734/3,11007560/10999999,32997340/32999997,1651134/1649867,250000000000/1926323
8,1000,100000999/100000,1000,1000,1000,1000,1000/1,100000000/100000999,100000000/100000999,1/1,125/1
8,10000,100009999/10000,10000,10000,10000,10000,10000/1,100000000/100009999,100000000/100009999,1/1,1250/1
8,100000,100099999/1000,100094,100092,100090,100072,300254/3,100094000/100099999,300254000/300299997,150141/150127,625000000/50047
8,1000000,100999999/100,1010078,1009906,1009946,1009972,3029824/3,101007800/100999999,302982400/302999997,1515117/1514912,62500000000/505039
9,1000,1000000999/1000000,1000,1000,1000,1000,1000/1,1000000000/1000000999,1000000000/1000000999,1/1,1000/9
9,10000,1000009999/100000,10000,10000,10000,10000,10000/1,1000000000/1000009999,1000000000/1000009999,1/1,10000/9
9,100000,1000099999/10000,100006,100004,100008,100006,100006/1,1000060000/1000099999,1000060000/1000099999,1/1,5000000000/450027
9,1000000,1000999999/1000,1001042,1000948,1001016,1000910,1000958/1,1001042000/1000999999,1000958000/1000999999,71503/71497,500000000000/4504689
10,1000,10000000999/10000000,1000,1000,1000,1000,1000/1,10000000000/10000000999,10000000000/10000000999,1/1,100/1
10,10000,10000009999/1000000,10000,10000,10000,10000,10000/1,10000000000/10000009999,10000000000/10000009999,1/1,1000/1
10,100000,10000099999/100000,100000,100000,100002,100000,300002/3,10000000000/10000099999,30000200000/30000299997,150000/150001,10000/1
