dataset,seed_hex,digits_sha256,n,N,energy,R_numerator,R_denominator,R_decimal,iid_model_energy_numerator,iid_model_energy_denominator,energy_over_iid_model_numerator,energy_over_iid_model_denominator,energy_over_iid_model_decimal,iid_model_R_numerator,iid_model_R_denominator,iid_model_R_decimal
pi,,3d11a0e07b0fe7fbc6cb78dbc99afbeec8cfb277c64a559463822da236aff779,1,1000,100474,500000,50237,9.9528236161,100900,1,50237,50450,0.99577799802,10000,1009,9.9108027750
pi,,3d11a0e07b0fe7fbc6cb78dbc99afbeec8cfb277c64a559463822da236aff779,1,10000,10009318,50000000,5004659,9.9906906744,10009000,1,5004659,5004500,1.0000317714,100000,10009,9.9910080927
pi,,3d11a0e07b0fe7fbc6cb78dbc99afbeec8cfb277c64a559463822da236aff779,1,100000,1000040930,1000000000,100004093,9.9995907168,1000090000,1,14286299,14287000,0.99995093442,1000000,100009,9.9991000810
pi,,3d11a0e07b0fe7fbc6cb78dbc99afbeec8cfb277c64a559463822da236aff779,1,1000000,100000550908,250000000000,25000137727,9.9999449095,100000900000,1,25000137727,25000225000,0.99999650911,10000000,1000009,9.9999100008
pi,,3d11a0e07b0fe7fbc6cb78dbc99afbeec8cfb277c64a559463822da236aff779,2,1000,10974,250000,5487,45.562238017,10990,1,5487,5495,0.99854413103,50000,1099,45.495905368
pi,,3d11a0e07b0fe7fbc6cb78dbc99afbeec8cfb277c64a559463822da236aff779,2,10000,1007860,2500000,50393,49.610064890,1009900,1,50393,50495,0.99797999802,500000,10099,49.509852461
pi,,3d11a0e07b0fe7fbc6cb78dbc99afbeec8cfb277c64a559463822da236aff779,2,100000,100104656,312500000,6256541,49.947726707,100099000,1,12513082,12512375,1.0000565041,5000000,100099,49.950548956
pi,,3d11a0e07b0fe7fbc6cb78dbc99afbeec8cfb277c64a559463822da236aff779,2,1000000,10000942278,250000000000,5000471139,49.995289054,10000990000,1,5000471139,5000495000,0.99999522827,50000000,1000099,49.995050490
pi,,3d11a0e07b0fe7fbc6cb78dbc99afbeec8cfb277c64a559463822da236aff779,3,1000,1990,100000,597,167.50418760,1999,1,1990,1999,0.99549774887,1000000,5997,166.75004169
pi,,3d11a0e07b0fe7fbc6cb78dbc99afbeec8cfb277c64a559463822da236aff779,3,10000,109080,2500000,8181,305.58611417,109990,1,10908,10999,0.99172652059,10000000,32997,303.05785374
pi,,3d11a0e07b0fe7fbc6cb78dbc99afbeec8cfb277c64a559463822da236aff779,3,100000,10101024,312500000,946971,329.99954592,10099900,1,2525256,2524975,1.0001112882,100000000,302997,330.03627099
pi,,3d11a0e07b0fe7fbc6cb78dbc99afbeec8cfb277c64a559463822da236aff779,3,1000000,1000958200,5000000000,15014373,333.01423909,1000999000,1,5004791,5004995,0.99995924072,1000000000,3002997,333.00066567
pi,,3d11a0e07b0fe7fbc6cb78dbc99afbeec8cfb277c64a559463822da236aff779,4,1000,1100,2500,11,227.27272727,10999,10,11000,10999,1.0000909174,2500000,10999,227.29339031
pi,,3d11a0e07b0fe7fbc6cb78dbc99afbeec8cfb277c64a559463822da236aff779,4,10000,19818,12500000,9909,1261.4794631,19999,1,19818,19999,0.99094954748,25000000,19999,1250.0625031
pi,,3d11a0e07b0fe7fbc6cb78dbc99afbeec8cfb277c64a559463822da236aff779,4,100000,1100588,625000000,275147,2271.5130458,1099990,1,550294,549995,1.0005436413,250000000,109999,2272.7479341
pi,,3d11a0e07b0fe7fbc6cb78dbc99afbeec8cfb277c64a559463822da236aff779,4,1000000,100997870,25000000000,10099787,2475.2997266,100999900,1,10099787,10099990,0.99997990097,2500000000,1009999,2475.2499755
pi,,3d11a0e07b0fe7fbc6cb78dbc99afbeec8cfb277c64a559463822da236aff779,5,1000,1014,100000,507,197.23865878,100999,100,101400,100999,1.0039703363,20000000,100999,198.02176259
pi,,3d11a0e07b0fe7fbc6cb78dbc99afbeec8cfb277c64a559463822da236aff779,5,10000,10932,5000000,2733,1829.4914014,109999,10,109320,109999,0.99382721661,200000000,109999,1818.1983473
pi,,3d11a0e07b0fe7fbc6cb78dbc99afbeec8cfb277c64a559463822da236aff779,5,100000,199944,250000000,24993,10002.800784,199999,1,199944,199999,0.99972499862,2000000000,199999,10000.050000
pi,,3d11a0e07b0fe7fbc6cb78dbc99afbeec8cfb277c64a559463822da236aff779,5,1000000,11003796,50000000000,2750949,18175.545966,10999990,1,5501898,5499995,1.0003460003,20000000000,1099999,18181.834711
pi,,3d11a0e07b0fe7fbc6cb78dbc99afbeec8cfb277c64a559463822da236aff779,6,1000,1000,500,3,166.66666667,1000999,1000,1000000,1000999,0.99900199700,500000000,3002997,166.50033283
pi,,3d11a0e07b0fe7fbc6cb78dbc99afbeec8cfb277c64a559463822da236aff779,6,10000,10070,5000000,3021,1655.0810990,1009999,100,1007000,1009999,0.99703069013,5000000000,3029997,1650.1666503
