instance_order,cohort,word,word_length,depth_R,status,declared_state_count_including_root,reachable_state_count,reachable_live_state_count,generated_edge_count,finite_experimental_verdict,resource_stop_reason
0,t52_completed_baseline,0,1,0,completed,2,2,2,18,t65_relaxed_criterion_failure,
1,t52_completed_baseline,1,1,0,completed,2,2,2,18,t65_relaxed_criterion_failure,
2,t52_completed_baseline,2,1,0,completed,2,2,2,18,t65_relaxed_criterion_failure,
3,t52_completed_baseline,3,1,0,completed,2,2,2,18,t65_relaxed_criterion_failure,
4,t52_completed_baseline,4,1,0,completed,2,2,2,18,t65_relaxed_criterion_failure,
5,t52_completed_baseline,5,1,0,completed,2,2,2,18,t65_relaxed_criterion_failure,
6,t52_completed_baseline,6,1,0,completed,2,2,2,18,t65_relaxed_criterion_failure,
7,t52_completed_baseline,7,1,0,completed,2,2,2,18,t65_relaxed_criterion_failure,
8,t52_completed_baseline,8,1,0,completed,2,2,2,18,t65_relaxed_criterion_failure,
9,t52_completed_baseline,9,1,0,completed,2,2,2,18,t65_relaxed_criterion_failure,
10,t52_completed_baseline,0,1,1,completed,19,19,16,292,t65_relaxed_criterion_failure,
11,t52_completed_baseline,00,2,1,completed,73,46,40,601,t65_relaxed_criterion_failure,
12,t52_completed_baseline,01,2,1,completed,73,46,45,602,t65_relaxed_criterion_failure,
13,t52_completed_baseline,010,3,1,completed,163,69,67,843,t65_relaxed_criterion_failure,
14,t52_completed_baseline,0,1,2,completed,325,325,200,4738,t65_relaxed_criterion_failure,
15,t52_completed_baseline,010,3,2,completed,8749,1455,1275,17471,t65_relaxed_criterion_failure,
16,deterministic_extension,0,1,3,resource_frontier,5833,,,2499,,state_cap
17,deterministic_extension,1,1,1,completed,19,19,18,292,t65_relaxed_criterion_failure,
18,deterministic_extension,1,1,2,completed,325,325,229,4738,t65_relaxed_criterion_failure,
19,deterministic_extension,1,1,3,resource_frontier,5833,,,2499,,state_cap
20,deterministic_extension,2,1,1,completed,19,19,19,292,t65_relaxed_criterion_failure,
21,deterministic_extension,2,1,2,completed,325,325,240,4738,t65_relaxed_criterion_failure,
22,deterministic_extension,2,1,3,resource_frontier,5833,,,2499,,state_cap
23,deterministic_extension,3,1,1,completed,19,19,18,292,t65_relaxed_criterion_failure,
24,deterministic_extension,3,1,2,completed,325,325,233,4738,t65_relaxed_criterion_failure,
25,deterministic_extension,3,1,3,resource_frontier,5833,,,2499,,state_cap
26,deterministic_extension,4,1,1,completed,19,19,19,292,t65_relaxed_criterion_failure,
27,deterministic_extension,4,1,2,completed,325,325,253,4738,t65_relaxed_criterion_failure,
28,deterministic_extension,4,1,3,resource_frontier,5833,,,2499,,state_cap
29,deterministic_extension,5,1,1,completed,19,19,19,292,t65_relaxed_criterion_failure,
30,deterministic_extension,5,1,2,completed,325,325,253,4738,t65_relaxed_criterion_failure,
31,deterministic_extension,5,1,3,resource_frontier,5833,,,2499,,state_cap
32,deterministic_extension,6,1,1,completed,19,19,18,292,t65_relaxed_criterion_failure,
33,deterministic_extension,6,1,2,completed,325,325,233,4738,t65_relaxed_criterion_failure,
34,deterministic_extension,6,1,3,resource_frontier,5833,,,2499,,state_cap
35,deterministic_extension,7,1,1,completed,19,19,19,292,t65_relaxed_criterion_failure,
36,deterministic_extension,7,1,2,completed,325,325,240,4738,t65_relaxed_criterion_failure,
37,deterministic_extension,7,1,3,resource_frontier,5833,,,2499,,state_cap
38,deterministic_extension,8,1,1,completed,19,19,18,292,t65_relaxed_criterion_failure,
39,deterministic_extension,8,1,2,completed,325,325,229,4738,t65_relaxed_criterion_failure,
40,deterministic_extension,8,1,3,resource_frontier,5833,,,2499,,state_cap
41,deterministic_extension,9,1,1,completed,19,19,16,292,t65_relaxed_criterion_failure,
42,deterministic_extension,9,1,2,completed,325,325,200,4738,t65_relaxed_criterion_failure,
43,deterministic_extension,9,1,3,resource_frontier,5833,,,2499,,state_cap
