stream,N,L,sample_size,support_size,max_count,sum_squared_counts,collision_pairs,count_spectrum,exact_entropy_expression,entropy_nats,entropy_nats_per_digit,normalized_entropy_H_over_L_log10
pi,1000,1,1000,10,116,100474,49737,93:2;94:1;95:1;97:1;101:1;102:1;103:1;106:1;116:1,ln(1000)-(186*ln(93)+94*ln(94)+95*ln(95)+97*ln(97)+101*ln(101)+102*ln(102)+103*ln(103)+106*ln(106)+116*ln(116))/1000,2.300264303017538813079600236723,2.300264303017538813079600236723,0.998992093719546688505003151299
pi,1000,2,999,100,18,10945,4973,4:1;5:3;6:8;7:10;8:14;9:15;10:11;11:10;12:6;13:7;14:4;15:3;16:6;17:1;18:1,ln(999)-(4*ln(4)+15*ln(5)+48*ln(6)+70*ln(7)+112*ln(8)+135*ln(9)+110*ln(10)+110*ln(11)+72*ln(12)+91*ln(13)+56*ln(14)+45*ln(15)+96*ln(16)+17*ln(17)+18*ln(18))/999,4.557592118406909772246412422575,2.278796059203454886123206211287,0.989668553894936418495502748650
pi,1000,4,997,951,3,1097,50,1:909;2:38;3:4,ln(997)-(909*ln(1)+76*ln(2)+12*ln(3))/997,6.838690054629267457810981665201,1.709672513657316864452745416300,0.742501338543034662145923544851
pi,1000,8,993,993,1,993,0,1:993,ln(993)-(993*ln(1))/993,6.900730664045172592179862076499,0.862591333005646574022482759562,0.374618656061922646987896063824
pi,1000,16,985,985,1,985,0,1:985,ln(985)-(985*ln(1))/985,6.892641641172088881380556662389,0.430790102573255555086284791399,0.187089764406100733259875338937
pi,1000,32,969,969,1,969,0,1:969,ln(969)-(969*ln(1))/969,6.876264611890766231653807286684,0.214883269121586444739181477709,0.093322618032836416480360352292
pi,3000,1,3000,10,332,904842,450921,259:1;265:1;287:1;302:1;303:1;309:1;310:1;315:1;318:1;332:1,ln(3000)-(259*ln(259)+265*ln(265)+287*ln(287)+302*ln(302)+303*ln(303)+309*ln(309)+310*ln(310)+315*ln(315)+318*ln(318)+332*ln(332))/3000,2.299845679476750879482843022241,2.299845679476750879482843022241,0.998810287825787688074222525618
pi,3000,2,2999,100,43,93449,45225,18:1;19:3;20:1;21:5;22:1;23:3;24:5;25:3;26:3;27:7;28:7;29:11;30:10;31:5;32:5;33:4;34:5;35:3;36:2;37:1;38:4;39:3;40:3;42:4;43:1,ln(2999)-(18*ln(18)+57*ln(19)+20*ln(20)+105*ln(21)+22*ln(22)+69*ln(23)+120*ln(24)+75*ln(25)+78*ln(26)+189*ln(27)+196*ln(28)+319*ln(29)+300*ln(30)+155*ln(31)+160*ln(32)+132*ln(33)+170*ln(34)+105*ln(35)+72*ln(36)+37*ln(37)+152*ln(38)+117*ln(39)+120*ln(40)+168*ln(42)+43*ln(43))/2999,4.585601658703691384756670677138,2.292800829351845692378335338569,0.995750748290705930915613574278
pi,3000,4,2997,2595,4,3877,440,1:2230;2:329;3:35;4:1,ln(2997)-(2230*ln(1)+658*ln(2)+105*ln(3)+4*ln(4))/2997,7.812844440502157005855523951799,1.953211110125539251463880987950,0.848268807119646419069018450704
pi,3000,8,2993,2993,1,2993,0,1:2993,ln(2993)-(2993*ln(1))/2993,8.004031507852698932958872230476,1.000503938481587366619859028809,0.434513339605023924447974843805
