word,nodes,leaves,tail_leaves,max_depth,min_margin_numerator,margin_denominator,status
00,138943,69472,344,30,2146450992732,140737488355328000,PASS
01,574363,287182,1172,31,470325860772,140737488355328000,PASS
02,532355,266178,1800,31,323161543999,140737488355328000,PASS
03,555939,277970,1858,31,2106183068,140737488355328000,PASS
04,648171,324086,2006,31,517004546666,140737488355328000,PASS
05,959507,479754,2550,31,465109534039,140737488355328000,PASS
06,722671,361336,3284,31,1760157423914,140737488355328000,PASS
07,822919,411460,3868,31,43365993120,140737488355328000,PASS
08,1042035,521018,4302,31,1334964861268,140737488355328000,PASS
09,1640435,820218,4876,32,37193614596,140737488355328000,PASS
10,985523,492762,1280,32,163787905253,140737488355328000,PASS
11,86607,43304,282,30,13297822506025,140737488355328000,PASS
12,485555,242778,1102,31,1099215884554,140737488355328000,PASS
13,482423,241212,1666,31,1227639563494,140737488355328000,PASS
14,586435,293218,1878,31,556953660882,140737488355328000,PASS
15,650831,325416,2006,31,232780739953,140737488355328000,PASS
16,820567,410284,2446,31,261609590178,140737488355328000,PASS
17,764095,382048,3560,31,594438963911,140737488355328000,PASS
18,977483,488742,4202,31,207899062830,140737488355328000,PASS
19,1644639,822320,4562,32,113424348118,140737488355328000,PASS
20,1045183,522592,2040,32,79095629598,140737488355328000,PASS
21,629731,314866,1176,31,476050590518,140737488355328000,PASS
22,73767,36884,252,30,5616867092337,140737488355328000,PASS
23,435587,217794,984,31,307755026043,140737488355328000,PASS
24,520087,260044,1676,31,1520429946317,140737488355328000,PASS
25,586227,293114,1880,31,138872158843,140737488355328000,PASS
26,598903,299452,1996,31,303177608992,140737488355328000,PASS
27,856495,428248,2846,31,213706047733,140737488355328000,PASS
28,916907,458454,3864,31,1062276610258,140737488355328000,PASS
29,1678223,839112,4368,32,71814856972,140737488355328000,PASS
30,1172315,586158,2280,32,154305548458,140737488355328000,PASS
31,634747,317374,1940,31,160366776368,140737488355328000,PASS
32,474871,237436,1102,31,309866812122,140737488355328000,PASS
33,69299,34650,240,30,476640674298,140737488355328000,PASS
34,447535,223768,1006,31,922375946224,140737488355328000,PASS
35,517095,258548,1680,31,58326032320,140737488355328000,PASS
36,536251,268126,1834,31,223587695914,140737488355328000,PASS
37,651319,325660,2214,31,178989435018,140737488355328000,PASS
38,1086295,543148,3054,31,152643406252,140737488355328000,PASS
39,1634427,817214,4146,32,107746815191,140737488355328000,PASS
40,1321007,660504,2582,32,69397190201,140737488355328000,PASS
41,736587,368294,2144,31,155625605801,140737488355328000,PASS
42,539067,269534,1812,31,149723330007,140737488355328000,PASS
43,433839,216920,980,31,672922219075,140737488355328000,PASS
44,69047,34524,230,30,4303963967846,140737488355328000,PASS
45,448775,224388,1010,31,1557579787,140737488355328000,PASS
46,479111,239556,1662,31,851570123527,140737488355328000,PASS
47,582299,291150,2010,31,1792701057919,140737488355328000,PASS
48,776807,388404,2364,31,274112577278,140737488355328000,PASS
49,3543595,1771798,3328,35,421592800,140737488355328000,PASS
50,3543595,1771798,3328,35,421592800,140737488355328000,PASS
51,776807,388404,2364,31,274112577278,140737488355328000,PASS
52,582299,291150,2010,31,1792701057919,140737488355328000,PASS
53,479111,239556,1662,31,851570123527,140737488355328000,PASS
54,448775,224388,1010,31,1557579787,140737488355328000,PASS
55,69047,34524,230,30,4303963967846,140737488355328000,PASS
56,433839,216920,980,31,672922219075,140737488355328000,PASS
57,539067,269534,1812,31,149723330007,140737488355328000,PASS
58,736587,368294,2144,31,155625605801,140737488355328000,PASS
59,1321007,660504,2582,32,69397190201,140737488355328000,PASS
60,1634427,817214,4146,32,107746815191,140737488355328000,PASS
61,1086295,543148,3054,31,152643406252,140737488355328000,PASS
62,651319,325660,2214,31,178989435018,140737488355328000,PASS
63,536251,268126,1834,31,223587695914,140737488355328000,PASS
64,517095,258548,1680,31,58326032320,140737488355328000,PASS
